accuracy,macro_f1,balanced_accuracy,ece_10_bins,loss,strategy,training_seconds
0.0,0.0,0.0,0.07292015105485916,4.84487771987915,frozen,18.282896899996558
0.0,0.0,0.0,0.09659779071807861,4.730716705322266,full,20.252838399988832
